,company_name,company_rating,other_data
354,Jio,4.0,"Telecom , 50k-1 Lakh Employees , Public , 6 years old , Noida +1175 more"
355,Expedien eSolutions,3.7,"IT Services & Consulting , 51-200 Employees , Public , 21 years old , Noida +8 more"
366,IDFC FIRST Bank,4.0,"Banking , 10k-50k Employees , Public , 6 years old , Noida +588 more"
368,Dainik Bhaskar Group,4.4,"Printing & Publishing , 5k-10k Employees , Public , 66 years old , Noida +128 more"
372,Somany Ceramics,4.3,"Building Material , 1k-5k Employees , Public , 56 years old , Noida +65 more"
384,Ameriprise Financial,3.8,"Financial Services , 1k-5k Employees , Forbes Global 2000 , 130 years old , Noida +11 more"
388,Inshorts,4.2,"Internet , 201-500 Employees , Startup , 11 years old , Noida +5 more"
397,GE,4.3,"Defence & Aerospace , 10k-50k Employees , Forbes Global 2000 , 132 years old , Noida +62 more"
399,Microsoft Corporation,4.1,"Software Product , 10k-50k Employees , Forbes Global 2000 , 49 years old , Noida +42 more"
401,QX Global Group,3.4,"IT Services & Consulting , 1k-5k Employees , Public , 21 years old , Noida +15 more"
404,KRBL,4.0,"Food Processing , 1k-5k Employees , Public , 135 years old , Noida +38 more"
406,Rudrabhishek Enterprises,4.9,"Urban Transport , 201-500 Employees , Public , 32 years old , Noida +26 more"
411,Everest Industries,4.1,"Building Material , 1k-5k Employees , Public , 90 years old , Mumbai +69 more"
413,NXP Semiconductors,3.9,"Semiconductors , 1k-5k Employees , Public , 55 years old , Noida +11 more"
417,Dell,4.2,"Consumer Electronics & Appliances , 10k-50k Employees , Forbes Global 2000 , 40 years old , Bangalore / Bengaluru +101 more"
420,Intex Technologies,3.7,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 28 years old , Noida +70 more"
429,FCS Software Solutions,3.5,"IT Services & Consulting , 1k-5k Employees , Public , 30 years old , Noida +13 more"
430,Flipkart,4.0,"Internet , 10k-50k Employees , Public , 17 years old , Noida +516 more"
431,Infinite Computer Solutions,3.5,"IT Services & Consulting , 1k-5k Employees , Public , 23 years old , Noida +27 more"
434,Biotique,3.8,"Biotechnology , 501-1k Employees , Conglomerate , 24 years old , Noida +22 more"
