,company_name,company_rating,other_data
538,Aditya Birla Fashion and Retail,4.2,"Fashion & Textile , 10k-50k Employees , Fortune India 500 , 36 years old , Mumbai +233 more"
539,Dhabriya Polywood,3.2,"Building Material , 51-200 Employees , Public , 32 years old , Jaipur +5 more"
550,Dhabriya Polywood,3.2,"Building Material , 51-200 Employees , Public , 32 years old , Jaipur +5 more"
555,Edelweiss,3.8,"Financial Services , 1k-5k Employees , Public , 7 years old , Jaipur +108 more"
557,Adani Wilmar,4.2,"FMCG , 1k-5k Employees , Public , 25 years old , Jaipur +154 more"
561,IFB,3.7,"Consumer Electronics & Appliances , 201-500 Employees , Public , 50 years old , Jaipur +136 more"
567,Adani Wilmar,4.2,"FMCG , 1k-5k Employees , Public , 25 years old , Ahmedabad +154 more"
571,Edelweiss,3.8,"Financial Services , 1k-5k Employees , Public , 7 years old , Mumbai +108 more"
576,Escorts Kubota Limited,4.1,"Automobile , 1k-5k Employees , Public , 80 years old , Faridabad +136 more"
577,Prince Pipes & Fittings,4.3,"Building Material , 1k-5k Employees , Public , 37 years old , Mumbai +53 more"
579,Sundaram Finance,4.2,"NBFC , 1k-5k Employees , Public , 70 years old , Chennai +204 more"
583,Norsk Hydro,4.3,"Metals & Mining , 10k-50k Employees , Forbes Global 2000 , 119 years old , Jaipur +2 more"
585,Pine Labs,3.7,"FinTech , 1k-5k Employees , Indian Unicorn , 26 years old , Jaipur +80 more"
593,Care Health Insurance,3.8,"Internet , 5k-10k Employees , Public , 12 years old , Jaipur +197 more"
596,Honda,4.2,"Automobile , 10k-50k Employees , Forbes Global 2000 , 39 years old , Jaipur +192 more"
597,CG Power and Industrial Solutions,3.9,"Electrical Equipment , 1k-5k Employees , Public , 87 years old , Jaipur +79 more"
600,Lupin,4.1,"Pharma , 1k-5k Employees , Public , 56 years old , Jaipur +170 more"
602,National Informatics Centre,4.2,"Government , 1k-5k Employees , Central , 48 years old , Jaipur +63 more"
604,CG Power and Industrial Solutions,3.9,"Electrical Equipment , 1k-5k Employees , Public , 87 years old , Jaipur +79 more"
605,Honda,4.2,"Automobile , 10k-50k Employees , Forbes Global 2000 , 39 years old , Jaipur +192 more"
607,ICICI Securities,3.8,"Financial Services , 1k-5k Employees , Public , 29 years old , Jaipur +122 more"
608,Bajaj Capital,3.9,"Financial Services , 1k-5k Employees , Public , 60 years old , Jaipur +146 more"
609,Rupeek,3.7,"FinTech , 1k-5k Employees , Startup , 9 years old , Jaipur +55 more"
613,Sun Pharmaceutical Industries,4.1,"Pharma , 10k-50k Employees , Public , 41 years old , Jaipur +207 more"
617,Zomato,3.8,"Internet , 1k-5k Employees , Public , 16 years old , Jaipur +182 more"
618,CBRE,4.2,"Real Estate , 10k-50k Employees , Forbes Global 2000 , 118 years old , Gurgaon / Gurugram +75 more"
619,GlaxoSmithKline Pharmaceuticals,4.2,"Pharma , 1k-5k Employees , Fortune India 500 , 194 years old , Mumbai +179 more"
620,ART Housing Finance (India),3.8,"Financial Services , 51-200 Employees , Public , 11 years old , Jaipur +29 more"
625,CenturyPly,4.0,"Furniture & Furnishing , 1k-5k Employees , Public , 38 years old , Jaipur +99 more"
630,NLET Initiatives LLP,4.3,"Software Product , 11-50 Employees , Startup , 7 years old , Jaipur"
633,Flitpay,4.2,"Financial Services , 11-50 Employees , Startup , 7 years old , Jaipur"
635,Blue Star,4.1,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 81 years old , Mumbai +133 more"
643,Lava International,4.1,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 15 years old , Jaipur +210 more"
644,Reliance Capital,4.0,"Financial Services , 1k-5k Employees , Public , 19 years old , Jaipur +80 more"
645,Rivigo,3.9,"Internet , 1k-5k Employees , Indian Unicorn , 10 years old , Jaipur +151 more"
650,Bajaj Electricals,4.1,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 86 years old , Jaipur +199 more"
651,Nokia,4.2,"Telecom , 10k-50k Employees , Forbes Global 2000 , 159 years old , Jaipur +149 more"
656,Tech Mahindra,3.7,"IT Services & Consulting , 1 Lakh+ Employees , Public , 38 years old , Jaipur +269 more"
664,Ways & Means Technology,4.7,"IT Services & Consulting , 11-50 Employees , Public , 15 years old , Jaipur +1 more"
675,Indian Railways,4.2,"Railways , 1 Lakh+ Employees , Central , 171 years old , Delhi/NCR +209 more"
677,Ola Cabs,3.5,"Internet , 1k-5k Employees , Indian Unicorn , 14 years old , Bangalore +97 more"
678,Intex Technologies,3.7,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 28 years old , Delhi/NCR +70 more"
679,Whirlpool,4.1,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 113 years old , Michigan +140 more"
680,Reliance Trends,4.4,"Retail , 1 Lakh+ Employees , Conglomerate , 18 years old , Navi Mumbai +339 more"
684,Star Health & Allied Insurance,3.9,"Insurance , 10k-50k Employees , Fortune India 500 , 18 years old , Chennai +247 more"
