,company_name,company_rating,other_data
698,Thinq Pharma Cro,4.0,"Pharma , 51-200 Employees , Public , 22 years old , Mumbai +7 more"
699,Bharat Financial Inclusion,4.0,"NBFC , 10k-50k Employees , Public , 26 years old , Hyderabad +345 more"
707,Prakash Asphaltings Toll Highways,4.4,"Engineering & Construction , 501-1k Employees , Public , 28 years old , Indore +11 more"
709,Zomato,3.8,"Internet , 1k-5k Employees , Public , 16 years old , Indore +182 more"
710,McDonald's,4.2,"Hospitality , 1k-5k Employees , Forbes Global 2000 , 69 years old , Indore +138 more"
712,Vyapaar Vistaar Tech Private Limited,4.7,"Other , 201-500 Employees , Startup , 4 years old , Indore +1 more"
714,Cipla Health,4.2,"Pharma , 10k-50k Employees , Public , 11 years old , Indore +56 more"
720,Physicswallah,3.8,"EdTech , 10k-50k Employees , Indian Unicorn , 5 years old , Indore +73 more"
721,Alembic Pharmaceuticals,4.1,"Pharma , 10k-50k Employees , Public , 117 years old , Indore +155 more"
722,American Express,4.2,"Financial Services , 10k-50k Employees , Forbes Global 2000 , 174 years old , Indore +42 more"
729,Panjon,3.3,"Pharma , 11-50 Employees , Public , 60 years old , Indore"
745,NumeroEins Software,3.5,"IT Services & Consulting , 11-50 Employees , Startup , 7 years old , Indore +1 more"
748,CG Power and Industrial Solutions,3.9,"Electrical Equipment , 1k-5k Employees , Public , 87 years old , Indore +79 more"
749,Whirlpool,4.1,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 113 years old , Indore +140 more"
751,Hindustan Petroleum,4.3,"Oil & Gas , 5k-10k Employees , Central , 50 years old , Indore +199 more"
753,Future Retail,4.3,"Retail , 10k-50k Employees , Public , 37 years old , Indore +196 more"
754,Supersourcing,3.2,"Internet , 51-200 Employees , Startup , 5 years old , Indore"
