,company_name,company_rating,other_data
192,Thomas Cook,3.9,"Travel & Tourism , 1k-5k Employees , Public , 143 years old , Mumbai +73 more"
193,Colgate Palmolive,4.2,"FMCG , 1k-5k Employees , Public , 87 years old , Mumbai +96 more"
194,Genesys International Corporation,3.8,"IT Services & Consulting , 1k-5k Employees , Public , 29 years old , Mumbai +14 more"
198,Sanofi,4.4,"Pharma , 1k-5k Employees , Public , 20 years old , Mumbai +71 more"
203,Sharekhan,4.0,"Financial Services , 1k-5k Employees , Public , 24 years old , Mumbai +108 more"
205,Medikabazaar,4.7,"Medical Equipment , 501-1k Employees , Startup , 10 years old , Mumbai +28 more"
208,Wipro Infotech,4.0,"IT Services & Consulting , 1 Lakh+ Employees (Global) , MNC , 79 years old , Mumbai +118 more"
209,Trent,4.1,"Retail , 10k-50k Employees , Public , 26 years old , Mumbai +110 more"
210,LEAD School,3.3,"EdTech , 1k-5k Employees , Indian Unicorn , 11 years old , Mumbai +87 more"
211,Paytm,3.5,"FinTech , 10k-50k Employees , Public , 14 years old , Mumbai +327 more"
214,ICICI Securities,3.8,"Financial Services , 1k-5k Employees , Public , 29 years old , Mumbai +122 more"
215,Aarti Industries,4.2,"Agro Chemicals , 5k-10k Employees , Public , 49 years old , Mumbai +43 more"
217,Kalpataru Power Transmission,4.2,"Engineering & Construction , 1k-5k Employees , Public , 43 years old , Mumbai +208 more"
218,Bureau Veritas,4.0,"Other , 1k-5k Employees , Forbes Global 2000 , 196 years old , Mumbai +114 more"
219,Metropolis Healthcare,4.1,"Healthcare , 1k-5k Employees , Conglomerate , 44 years old , Mumbai +78 more"
220,Mahindra Logistics,4.1,"Logistics , 1k-5k Employees , Public , 24 years old , Mumbai +133 more"
224,Raymond,4.1,"Fashion & Textile , 5k-10k Employees , Public , 99 years old , Mumbai +128 more"
225,HDFC Securities,3.7,"Financial Services , 1k-5k Employees , Public , 24 years old , Mumbai +158 more"
231,Bank of Baroda,3.6,"Banking , 50k-1 Lakh Employees , Fortune India 500 , 116 years old , Mumbai +242 more"
232,Mahindra Finance,4.3,"NBFC , 10k-50k Employees , Public , 33 years old , Mumbai +632 more"
235,Fynd,3.6,"Internet , 501-1k Employees , Public , 12 years old , Mumbai +9 more"
237,McDonald's,4.2,"Hospitality , 1k-5k Employees , Forbes Global 2000 , 69 years old , Mumbai +138 more"
240,IDBI Bank,3.7,"Banking , 10k-50k Employees , Public , 60 years old , Mumbai +267 more"
241,Royal Caribbean International,3.5,"Sports & Recreation , 501-1k Employees , Public , 55 years old , Mumbai +18 more"
245,Hindustan Petroleum,4.3,"Oil & Gas , 5k-10k Employees , Central , 50 years old , Mumbai +199 more"
248,Delhivery,4.0,"Logistics , 10k-50k Employees , Fortune India 500 , 13 years old , Mumbai +632 more"
250,Indiabulls Home Loans,3.9,"NBFC , 5k-10k Employees , Public , 19 years old , Mumbai +190 more"
251,Datamatics Business Solutions,3.4,"Management Consulting , 1k-5k Employees , Public , 42 years old , Mumbai +10 more"
255,National Stock Exchange of India,3.7,"Financial Services , 1k-5k Employees , Fortune India 500 , 32 years old , Mumbai +30 more"
258,Go First,3.7,"Aviation , 1k-5k Employees , Public , 19 years old , Mumbai +34 more"
262,JM Financial,3.8,"Financial Services , 1k-5k Employees , Public , 40 years old , Mumbai +59 more"
263,IIT Bombay,4.6,"Education & Training , 501-1k Employees , Public , 66 years old , Mumbai +10 more"
264,Carnival Cruise Lines,4.5,"Sports & Recreation , 1k-5k Employees , Public , 52 years old , Mumbai +26 more"
265,Hindalco Industries,4.3,"Metals & Mining , 10k-50k Employees , Public , 66 years old , Mumbai +89 more"
267,HCLTech,3.7,"IT Services & Consulting , 1 Lakh+ Employees , Public , 33 years old , Mumbai +184 more"
268,3i Infotech,3.6,"IT Services & Consulting , 1k-5k Employees , Public , 31 years old , Mumbai +105 more"
269,Bajaj Finserv,4.1,"Financial Services , 50k-1 Lakh Employees , Public , 17 years old , Mumbai +904 more"
274,Swiggy,3.9,"Internet , 5k-10k Employees , Indian Unicorn , 10 years old , Mumbai +193 more"
275,Parag Milk Foods,4.3,"FMCG , 1k-5k Employees , Public , 32 years old , Mumbai +68 more"
276,Zepto,3.7,"Internet , 1k-5k Employees , Indian Unicorn , 3 years old , Mumbai +29 more"
278,Porter,4.2,"Internet , 1k-5k Employees , Startup , 10 years old , Mumbai +24 more"
279,Medley Pharmaceuticals,4.1,"Pharma , 1k-5k Employees , Public , 55 years old , Mumbai +64 more"
280,J B Chemicals And Pharmaceuticals,3.9,"Pharma , 1k-5k Employees , Public , 48 years old , Mumbai +70 more"
281,CG Power and Industrial Solutions,3.9,"Electrical Equipment , 1k-5k Employees , Public , 87 years old , Mumbai +79 more"
282,Ingram Micro,3.9,"IT Services & Consulting , 1k-5k Employees , Conglomerate , 45 years old , Mumbai +43 more"
283,Mondelez International,4.4,"Food Processing , 1k-5k Employees , Forbes Global 2000 , 12 years old , Mumbai +136 more"
284,Mahanagar Gas,4.2,"Oil & Gas , 501-1k Employees , Public , 29 years old , Mumbai +20 more"
285,Schneider Electric,4.2,"Industrial Automation , 10k-50k Employees , Forbes Global 2000 , 25 years old , Mumbai +115 more"
286,Reliance Communications,4.0,"Telecom , 201-500 Employees , Public , 22 years old , Mumbai +420 more"
287,Johnson Controls,3.7,"Industrial Automation , 5k-10k Employees , Public , 139 years old , Mumbai +49 more"
291,Blue Dart Express,4.1,"Logistics , 10k-50k Employees , Public , 41 years old , Mumbai +234 more"
292,63 Moons Technologies,3.8,"IT Services & Consulting , 501-1k Employees , Public , 36 years old , Mumbai +12 more"
301,Oil And Natural Gas Corporation,4.3,"Oil & Gas , 10k-50k Employees , Public , 68 years old , Mumbai +65 more"
302,Grasim Industries,4.1,"Building Material , 10k-50k Employees , Public , 77 years old , Mumbai +116 more"
303,Kissht Finance,4.1,"FinTech , 201-500 Employees , Startup , 9 years old , Mumbai +59 more"
305,Tata Steel,4.2,"Iron & Steel , 1 Lakh+ Employees , Public , 117 years old , Mumbai +182 more"
306,FedEx Express,4.2,"Logistics , 5k-10k Employees , Forbes Global 2000 , 53 years old , Mumbai +89 more"
307,InterGlobe Aviation,3.6,"Aviation , 10k-50k Employees , Fortune India 500 , 19 years old , Mumbai +90 more"
308,Rebel Foods,3.8,"Internet , 5k-10k Employees , Indian Unicorn , 12 years old , Mumbai +61 more"
309,Oracle Financial Services Software,3.7,"IT Services & Consulting , 10k-50k Employees , Public , 34 years old , Mumbai +17 more"
310,Inox Leisure,4.1,"Media & Entertainment , 1k-5k Employees , Public , 25 years old , Mumbai +86 more"
311,Team Lease,4.0,"Recruitment , 1k-5k Employees , Public , 8 years old , Mumbai +311 more"
312,Aarvi Encon,4.1,"Recruitment , 5k-10k Employees , Public , 37 years old , Mumbai +91 more"
320,Oberoi Realty,3.9,"Real Estate , 501-1k Employees , Public , 44 years old , Mumbai +8 more"
322,Zee Entertainment Enterprises,3.6,"Media & Entertainment , 1k-5k Employees , Public , 32 years old , Mumbai +28 more"
327,BigBasket,4.0,"Internet , 10k-50k Employees , Indian Unicorn , 13 years old , Mumbai +116 more"
328,Orient Technologies,3.9,"IT Services & Consulting , 1k-5k Employees , Forbes Global 2000 , 32 years old , Mumbai +43 more"
329,L&T Technology Services,3.4,"IT Services & Consulting , 10k-50k Employees , Public , 12 years old , Mumbai +52 more"
330,Nilkamal,3.9,"Furniture & Furnishing , 1k-5k Employees , Public , 43 years old , Mumbai +95 more"
331,Siyaram Silk Mills,3.8,"Fashion & Textile , 1k-5k Employees , Public , 46 years old , Mumbai +34 more"
332,Godrej Consumer Products,4.2,"FMCG , 1k-5k Employees , Public , 23 years old , Mumbai +109 more"
334,Ketto,4.0,"Internet , 201-500 Employees , Startup , 12 years old , Mumbai +4 more"
338,Polycab Wires,4.1,"Electrical Equipment , 1k-5k Employees , Fortune India 500 , 28 years old , Mumbai +123 more"
339,LOREAL,4.1,"Beauty & Personal Care , 1k-5k Employees , Forbes Global 2000 , 33 years old , Mumbai +84 more"
340,Jubilant Foods Works,3.9,"Hospitality , 10k-50k Employees , Public , 29 years old , Mumbai +198 more"
341,Ambuja Cements,4.0,"Building Material , 5k-10k Employees , Public , 41 years old , Mumbai +197 more"
343,CARS24,3.7,"Internet , 5k-10k Employees , Indian Unicorn , 9 years old , Mumbai +148 more"
347,DXC Technology,3.8,"IT Services & Consulting , 10k-50k Employees , Public , 7 years old , Mumbai +83 more"
351,Sir H. N. Reliance Foundation Hospital and Research,3.9,"Healthcare , 51-200 Employees , Public , 99 years old , Mumbai +6 more"
352,Xanadu,3.4,"Real Estate , 501-1k Employees , Startup , 9 years old , Mumbai +13 more"
353,Dabur,3.8,"FMCG , 5k-10k Employees , Public , 140 years old , Mumbai +250 more"
354,Fractal Analytics,4.1,"Analytics & KPO , 1k-5k Employees , Indian Unicorn , 24 years old , Mumbai +13 more"
355,Allied Digital Services,3.5,"IT Services & Consulting , 1k-5k Employees , Public , 29 years old , Mumbai +47 more"
357,Microland,3.6,"IT Services & Consulting , 1k-5k Employees , Public , 35 years old , Mumbai +40 more"
358,Reliance Infrastructure,4.1,"Engineering & Construction , 1k-5k Employees , Public , 95 years old , Mumbai +55 more"
360,Tata Play,4.0,"Broadcasting , 5k-10k Employees , Public , 18 years old , Mumbai +190 more"
361,Air India,4.0,"Aviation , 10k-50k Employees , Central , 94 years old , Mumbai +54 more"
363,GAMMON INDIA,3.8,"Engineering & Construction , 11-50 Employees , Public , 102 years old , Mumbai +66 more"
364,Procter & Gamble,4.2,"FMCG , 1k-5k Employees , Public , 187 years old , Mumbai +203 more"
365,ITC,4.0,"FMCG , 10k-50k Employees , Public , 114 years old , Mumbai +301 more"
