,company_name,company_rating,industry,size,type,years_old,location
137,Bpo Convergence,3.6,BPO,1k-5k Employees,Conglomerate,10,Noida
138,IndusInd Bank,3.7,Banking,10k-50k Employees,Public,30,Noida
139,Supreme Industries,4.2,Petrochemicals,5k-10k Employees,Public,82,Noida
140,HT Media,3.4,Media & Entertainment,1k-5k Employees,Public,100,Noida
141,PNB Housing Finance,3.9,Financial Services,1k-5k Employees,Public,36,Noida
142,Lumen Technologies,4.0,Hardware & Networking,1k-5k Employees,Forbes Global 2000,94,Noida
143,DigiVersal Consultants,2.7,Internet,201-500 Employees,Startup,9,Noida
144,Jio,4.0,Telecom,50k-1 Lakh Employees,Public,6,Noida
145,Expedien eSolutions,3.7,IT Services & Consulting,51-200 Employees,Public,21,Noida
146,IDFC FIRST Bank,4.0,Banking,10k-50k Employees,Public,6,Noida
147,Dainik Bhaskar Group,4.4,Printing & Publishing,5k-10k Employees,Public,66,Noida
148,Somany Ceramics,4.3,Building Material,1k-5k Employees,Public,56,Noida
149,Ameriprise Financial,3.8,Financial Services,1k-5k Employees,Forbes Global 2000,130,Noida
150,Inshorts,4.2,Internet,201-500 Employees,Startup,11,Noida
151,GE,4.3,Defence & Aerospace,10k-50k Employees,Forbes Global 2000,132,Noida
152,Microsoft Corporation,4.1,Software Product,10k-50k Employees,Forbes Global 2000,49,Noida
153,QX Global Group,3.4,IT Services & Consulting,1k-5k Employees,Public,21,Noida
154,KRBL,4.0,Food Processing,1k-5k Employees,Public,135,Noida
155,Rudrabhishek Enterprises,4.9,Urban Transport,201-500 Employees,Public,32,Noida
156,Everest Industries,4.1,Building Material,1k-5k Employees,Public,90,Mumbai
157,NXP Semiconductors,3.9,Semiconductors,1k-5k Employees,Public,55,Noida
158,Dell,4.2,Consumer Electronics & Appliances,10k-50k Employees,Forbes Global 2000,40,Bangalore
159,Intex Technologies,3.7,Consumer Electronics & Appliances,1k-5k Employees,Public,28,Noida
160,FCS Software Solutions,3.5,IT Services & Consulting,1k-5k Employees,Public,30,Noida
161,Flipkart,4.0,Internet,10k-50k Employees,Public,17,Noida
162,Infinite Computer Solutions,3.5,IT Services & Consulting,1k-5k Employees,Public,23,Noida
163,Biotique,3.8,Biotechnology,501-1k Employees,Conglomerate,24,Noida
164,Zee Entertainment Enterprises,3.6,Media & Entertainment,1k-5k Employees,Public,32,Noida
165,Ajnara India,3.5,Real Estate,201-500 Employees,Public,33,Noida
166,Max Healthcare,4.1,Healthcare,1k-5k Employees,Fortune India 500,23,Hyderabad
167,DENSO,4.2,Auto Components,1k-5k Employees,Public,77,Noida
