,company_name,company_rating,industry,size,type,years_old,location
553,Ricoh,3.9,IT Services & Consulting,1-10 Employees,Public,88,Ahmedabad
554,Page Industries,4.2,Fashion & Textile,10k-50k Employees,Public,30,Ahmedabad
555,J. Kumar Infraprojects,4.1,Engineering & Construction,5k-10k Employees,Public,44,Ahmedabad
556,ABB Group,4.1,Electrical Equipment,1k-5k Employees,Public,36,Ahmedabad
557,Nowfloats Technologies,3.3,Software Product,201-500 Employees,Startup,12,Ahmedabad
558,Levi Strauss & Co.,4.5,Fashion & Textile,1k-5k Employees,Public,171,Ahmedabad
559,Ugro Capital,3.8,NBFC,1k-5k Employees,Public,31,Ahmedabad
560,Go First,3.7,Aviation,1k-5k Employees,Public,19,Ahmedabad
561,LT Foods,4.1,Food Processing,1k-5k Employees,Public,34,Ahmedabad
562,Ricoh,3.9,IT Services & Consulting,1-10 Employees,Public,88,Ahmedabad
563,Canara Bank,3.5,Banking,50k-1 Lakh Employees,Public,118,Ahmedabad
564,Central Bank of India,4.0,Banking,10k-50k Employees,Public,113,Ahmedabad
565,Star Health & Allied Insurance,3.9,Insurance,10k-50k Employees,Fortune India 500,18,Ahmedabad
566,Hindustan Petroleum,4.3,Oil & Gas,5k-10k Employees,Central,50,Ahmedabad
567,Safari Industries India,4.2,Fashion & Textile,501-1k Employees,Public,50,Ahmedabad
568,Lava International,4.1,Consumer Electronics & Appliances,1k-5k Employees,Public,15,Ahmedabad
569,Emami,4.1,Beauty & Personal Care,1k-5k Employees,Public,50,Ahmedabad
570,Orient Electric,4.0,Consumer Electronics & Appliances,501-1k Employees,Public,70,Ahmedabad
571,Minda Kyoraku,4.1,Automobile,51-200 Employees,Public,16,Ahmedabad
572,Rallis India,4.3,Agro Chemicals,1k-5k Employees,Public,76,Ahmedabad
573,Page Industries,4.2,Fashion & Textile,10k-50k Employees,Public,30,Ahmedabad
574,J. Kumar Infraprojects,4.1,Engineering & Construction,5k-10k Employees,Public,44,Ahmedabad
575,ABB Group,4.1,Electrical Equipment,1k-5k Employees,Public,36,Ahmedabad
576,Airtel Payments Bank,4.2,FinTech,501-1k Employees,Public,8,Ahmedabad
577,Nowfloats Technologies,3.3,Software Product,201-500 Employees,Startup,12,Ahmedabad
578,Ugro Capital,3.8,NBFC,1k-5k Employees,Public,31,Ahmedabad
579,TTK Healthcare,4.2,Healthcare,1k-5k Employees,Public,96,Ahmedabad
580,Zebpay,3.3,FinTech,51-200 Employees (Global),Startup,10,Ahmedabad
581,Prince Pipes & Fittings,4.3,Building Material,1k-5k Employees,Public,37,Ahmedabad
582,DS Group,4.1,FMCG,1k-5k Employees,Conglomerate,95,Ahmedabad
583,Greenply,4.0,Furniture & Furnishing,1k-5k Employees,Public,40,Ahmedabad
584,Sundaram Finance,4.2,NBFC,1k-5k Employees,Public,70,Ahmedabad
