,company_name,company_rating,industry,size,type,years_old,location
581,EffiaSoft,4.1,IT Services & Consulting,11-50 Employees,Startup,12,Hyderabad
582,Virtusa Software Services,4.0,IT Services & Consulting,5k-10k Employees,Public,28,Hyderabad
583,Aster Dm Healthcare,3.8,Healthcare,1k-5k Employees,Public,37,Hyderabad
584,Future Supply Chain Solutions,4.4,Logistics,1k-5k Employees,Public,18,Hyderabad
585,Godrej Group,4.0,Chemicals,10k-50k Employees,Public,127,Hyderabad
586,Verisk Analytics,3.9,IT Services & Consulting,501-1k Employees,Forbes Global 2000,53,Hyderabad
587,BharatPe,3.7,FinTech,201-500 Employees,Indian Unicorn,6,Hyderabad
588,Facebook,4.3,Internet,1k-5k Employees,Forbes Global 2000,20,Hyderabad
589,EffiaSoft,4.1,IT Services & Consulting,11-50 Employees,Startup,12,Hyderabad
590,Virtusa Software Services,4.0,IT Services & Consulting,5k-10k Employees,Public,28,Hyderabad
591,PULSUS HealthTech Group,3.9,Printing & Publishing,501-1k Employees,Public,40,Hyderabad
592,3F Industries,3.9,Food Processing,1k-5k Employees,Public,64,Hyderabad
593,PULSUS HealthTech Group,3.9,Printing & Publishing,501-1k Employees,Public,40,Hyderabad
594,Hero MotoCorp,4.2,Automobile,5k-10k Employees,Public,40,Hyderabad
595,Patanjali Ayurved,3.2,FMCG,1k-5k Employees,Fortune India 500,18,Hyderabad
596,Emcure Pharmaceuticals,3.8,Pharma,5k-10k Employees,Fortune India 500,43,Pune
597,Rallis India,4.3,Agro Chemicals,1k-5k Employees,Public,76,Pune
598,Sathavahana Ispat,3.2,Iron & Steel,501-1k Employees,Public,35,Ballari
599,Railtel Corporation Of India,3.9,Hardware & Networking,1k-5k Employees,Public,24,Pune
600,PaySafe India,3.6,FinTech,201-500 Employees,Public,28,Hyderabad
601,Sathavahana Ispat,3.2,Iron & Steel,501-1k Employees,Public,35,Hyderabad
602,Railtel Corporation Of India,3.9,Hardware & Networking,1k-5k Employees,Public,24,Hyderabad
603,Emcure Pharmaceuticals,3.8,Pharma,5k-10k Employees,Fortune India 500,43,Hyderabad
604,Rallis India,4.3,Agro Chemicals,1k-5k Employees,Public,76,Hyderabad
605,Hitachi,4.1,Industrial Machinery,10k-50k Employees,Forbes Global 2000,114,Hyderabad
606,H&M,4.0,Fashion & Textile,1k-5k Employees,Forbes Global 2000,77,Hyderabad
607,Army Ordnance Corps,4.7,Defence & Aerospace,11-50 Employees,Public,249,Hyderabad
608,Fraazo,3.4,Internet,201-500 Employees,Startup,8,Hyderabad
609,Clariant Chemicals,4.2,Chemicals,1k-5k Employees,Public,29,Pune
610,H&M,4.0,Fashion & Textile,1k-5k Employees,Forbes Global 2000,77,Pune
611,NeoGrowth Credit,3.7,NBFC,501-1k Employees,Startup,11,Pune
612,Karvy Innotech,3.2,IT Services & Consulting,501-1k Employees,Public,12,Pune
613,Zee Entertainment Enterprises,3.6,Media & Entertainment,1k-5k Employees,Public,32,Pune
614,Sun TV Network,3.8,Media & Entertainment,1k-5k Employees,Public,31,Hyderabad
615,Tata Hitachi Construction Machinery,4.1,Industrial Machinery,1k-5k Employees,Fortune India 500,25,Pune
616,Sobha,4.0,Real Estate,1k-5k Employees,Public,29,Pune
617,Trident Group,3.5,Fashion & Textile,10k-50k Employees,Public,34,Pune
618,Atos,3.8,IT Services & Consulting,10k-50k Employees,Forbes Global 2000,27,Pune
619,NexGen Technologies,4.3,Internet,51-200 Employees (Global),Public,27,Pune
620,Welspun Global Brands,3.8,Fashion & Textile,10k-50k Employees (Global),Public,24,Hyderabad
621,Securitas,4.0,Law Enforcement & Security,10k-50k Employees,Forbes Global 2000,90,Hyderabad
622,Turvo,2.9,Logistics,201-500 Employees,Startup,10,Hyderabad
623,Simhapuri Energy,4.4,Power,201-500 Employees,Public,19,Hyderabad
624,Airtel Payments Bank,4.2,FinTech,501-1k Employees,Public,8,Hyderabad
625,Athena Global Technologies,3.3,IT Services & Consulting,201-500 Employees,Public,32,Hyderabad
626,SYSKA LED Lights,2.9,Consumer Electronics & Appliances,1k-5k Employees (Global),Startup,12,Hyderabad
627,Shodhana Laboratories,4.0,Pharma,51-200 Employees,Public,24,Hyderabad
628,National Mineral Development Corporation,4.4,Metals & Mining,5k-10k Employees (Global),Public,66,Hyderabad
629,Mapmygenome- Genetic Testing/Counseling,3.0,Biotechnology,11-50 Employees,Startup,12,Hyderabad
630,ThyssenKrupp Industries India,4.2,Industrial Machinery,1k-5k Employees,Conglomerate,77,Hyderabad
631,Principal Global Services,4.2,Insurance,1k-5k Employees,Forbes Global 2000,18,Hyderabad
632,Bajaj Auto,3.9,Automobile,5k-10k Employees,Public,79,Hyderabad
633,Alphageo,3.7,Oil & Gas,51-200 Employees,Public,37,Hyderabad
634,B2B Software Technologies,4.4,IT Services & Consulting,51-200 Employees,Public,24,Hyderabad
635,Bank of India,4.0,Banking,50k-1 Lakh Employees,Fortune India 500,118,Hyderabad
636,TVS Electronics,3.9,Consumer Electronics & Appliances,501-1k Employees,Public,38,Hyderabad
637,Pantaloons,4.2,Fashion & Textile,5k-10k Employees,Public,27,Hyderabad
638,Inox Leisure,4.1,Media & Entertainment,1k-5k Employees,Public,25,Hyderabad
639,Aviva Life Insurance India,3.6,Insurance,1k-5k Employees,Forbes Global 2000,328,Hyderabad
640,Wockhardt,3.9,Pharma,5k-10k Employees,Public,25,Hyderabad
641,Vishnu Chemicals,3.9,Chemicals / Agri Inputs,201-500 Employees,Public,34,Hyderabad
642,V-Trans,4.1,Logistics,1k-5k Employees,Public,66,Hyderabad
643,PNB Housing Finance,3.9,Financial Services,1k-5k Employees,Public,36,Delhi/NCR
644,Intas Pharmaceuticals,4.2,Pharma,10k-50k Employees,Fortune India 500,47,Hyderabad
645,FirstCry,3.8,Retail,1k-5k Employees,Indian Unicorn,14,Hyderabad
646,Kakatiya Cement Sugar & Industries,4.0,Building Material,201-500 Employees,Public,45,Hyderabad
647,bhanzu,3.7,Education & Training,201-500 Employees,Startup,4,Hyderabad
648,GVK Group,3.9,Engineering & Construction,50k-1 Lakh Employees,Public,32,Hyderabad
649,Fiserv,3.6,FinTech,5k-10k Employees,Forbes Global 2000,40,Pune
650,Escorts Kubota Limited,4.1,Automobile,1k-5k Employees,Public,80,Aurangabad
651,PolicyBazaar,3.5,Internet,10k-50k Employees,Public,16,Aurangabad
652,Suryalakshmi Cotton Mills,3.7,Fashion & Textile,501-1k Employees,Public,62,Hyderabad
653,TeraSoftware,3.9,IT Services & Consulting,501-1k Employees,Public,30,Hyderabad
654,Apollo Microsystems,4.0,Consumer Electronics & Appliances,51-200 Employees,Public,39,Hyderabad
655,Raymond,4.1,Fashion & Textile,5k-10k Employees,Public,99,Hyderabad
